1,25,700,1,10,120,90,1
2,24,900,1,2,240,120,1
3,30,500,1,0,200,190,1
4,24,900,1,2,240,120,1
5,24,400,1,2,240,120,1
6,24,200,1,2,240,120,0
7,24,900,0,2,240,120,1
8,24,300,0,2,540,120,0
9,24,900,1,2,240,120,1
10,30,500,1,0,200,190,1
11,30,500,1,0,100,190,1
12,30,500,0,0,200,100,1
13,30,500,1,0,200,100,1
14,30,200,1,0,200,190,0
15,18,200,0,0,200,300,0
16,18,600,0,0,200,300,1
17,18,400,1,0,200,300,0
18,48,800,1,200,400,300,0
19,48,400,1,0,200,300,1
20,48,400,1,0,200,800,0
21,18,400,1,0,200,300,0
22,18,400,1,0,200,300,0
23,18,400,1,0,200,300,0
24,19,400,1,0,200,300,0
25,19,400,1,120,200,300,0
26,19,500,1,0,20,200,1
27,19,600,1,0,200,30,1
28,19,700,1,600,200,300,0
29,19,800,1,0,100,300,1
30,19,900,1,0,200,400,1
31,19,800,1,0,200,300,1
32,19,700,1,0,150,120,1
33,19,600,1,400,200,300,0
34,19,500,1,20,200,60,1
35,19,400,0,0,100,200,1
36,19,300,1,0,140,120,1
37,19,200,1,0,90,70,1
38,19,100,0,0,200,90,0
39,19,0,0,0,200,300,0
40,19,450,0,0,100,100,1
41,19,1400,0,0,700,300,1
42,19,1450,0,0,100,800,1
43,19,250,1,0,50,100,1
44,19,100,1,0,130,300,0
45,29,400,1,0,200,300,0
46,29,400,1,120,200,300,0
47,29,500,1,0,20,200,1
48,29,600,1,0,200,30,1
49,29,700,1,600,200,300,0
50,29,800,1,0,100,300,1
51,29,900,1,0,200,400,1
52,29,800,1,0,200,300,1
53,29,700,1,0,150,120,1
54,29,600,1,400,200,300,0
55,29,500,1,20,200,60,1
56,29,400,0,0,100,200,1
57,29,300,1,0,140,120,1
58,29,200,1,0,90,70,1
59,29,100,0,0,200,90,0
60,29,0,0,0,200,300,0
61,29,450,0,0,100,100,1
62,29,1400,0,0,700,300,1
63,29,1450,0,0,100,800,1
64,29,250,1,0,50,100,1
65,29,100,1,0,130,300,0
66,39,400,1,0,200,300,0
67,39,400,1,120,200,300,0
68,39,500,1,0,20,200,1
69,39,600,1,0,200,30,1
70,39,700,1,600,200,300,0
71,39,800,1,0,100,300,1
72,39,900,1,0,200,400,1
73,39,800,1,0,200,300,1
74,39,700,1,0,150,120,1
75,39,600,1,400,200,300,0
